,maoyanID,name,rating,box,box_day,box_week,release_date,IMAX,reg_美国,reg_中国大陆,reg_日本,reg_印度,reg_中国港澳台,week_want,online_days,weibo_topic,gen_爱情,gen_剧情,gen_奇幻,gen_传记,gen_家庭,gen_悬疑,gen_恐怖,gen_犯罪,gen_科幻,gen_灾难,gen_历史,gen_冒险,gen_动画,gen_运动,gen_动作,gen_古装,gen_战争,gen_喜剧,gen_音乐,gen_纪录片,gen_惊悚,spring,labor,summer,national
510,249875,谍影重重5,8.3,446000000.0,74617000.0,327000000.0,2016-08-23 00:00:00,True,True,False,False,False,False,32761.0,32.0,2100000.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
513,341589,樱桃小丸子：来自意大利的少年,8.3,25840000.0,4909000.0,18986000.0,2016-09-23 00:00:00,False,False,False,True,False,False,10208.0,23.0,510000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
514,346564,间谍同盟,8.3,30251000.0,9629000.0,24707000.0,2016-11-30 00:00:00,False,True,False,False,False,False,16383.0,18.0,5560000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
515,342427,外公芳龄38,8.3,60304000.0,11045000.0,34808000.0,2016-11-11 00:00:00,False,False,True,False,False,False,10926.0,29.0,4370000.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
518,247736,比利·林恩的中场战事,8.3,164000000.0,25385000.0,80669000.0,2016-11-11 00:00:00,False,True,True,False,False,False,14775.0,31.0,580000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
519,248675,深海浩劫,8.3,72572000.0,11190000.0,54393000.0,2016-11-15 00:00:00,False,True,False,False,False,True,10537.0,25.0,7730000.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
522,1196825,爱上试睡师,8.3,484000.0,109000.0,287000.0,2016-12-09 00:00:00,False,False,True,False,False,False,702.0,7.0,320000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
532,247713,危城,8.2,167000000.0,33852000.0,91114000.0,2016-08-12 00:00:00,False,False,True,False,False,True,20988.0,32.0,290000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
533,346299,捉迷藏,8.2,71388000.0,12148000.0,39046000.0,2016-11-04 00:00:00,False,False,True,False,False,False,15600.0,27.0,15450000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
544,248911,但丁密码,8.1,134000000.0,24226000.0,85315000.0,2016-10-28 00:00:00,True,True,False,False,False,False,14184.0,28.0,5420000.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
