,maoyanID,name,release_date,online_days,rating,box_week_million,box_million,box_day_million,week_want_thousand,IMAX,gen_科幻,gen_纪录片,gen_爱情,gen_悬疑,gen_冒险,gen_喜剧,gen_恐怖,gen_动作,gen_惊悚,gen_动画,gen_家庭,gen_剧情,gen_奇幻,gen_犯罪,spring,labor,summer,national,region_中国大陆,region_中国港澳台,region_美国,region_日本,region_印度,region_其他,director_famous,actor_famous,IP_rewrite,box_week,box,box_day,week_want
159,1204528,超大号美人,2018/8/28,10,8.1,1.405,1.482,0.611,3.279,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,1405000,1482000,611000,3279
346,344757,蓝色生死恋,2019/2/14,8,7.6,1.313,1.493,0.977,17.875,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,1313000,1493000,977000,17875
271,1221379,细思极恐,2018/7/6,35,4,0.555,1.502,0.226,3.539,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0,555000,1502000,226000,3539
93,1183637,黄金花,2018/4/28,20,8.5,0.568,1.508,0.373,1.488,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,0,0,568000,1508000,373000,1488
217,1132373,宇宙有爱浪漫同游,2018/3/2,7,7.3,1.332,1.548,0.92,3.583,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,1332000,1548000,920000,3583
184,1170241,哥斯拉：怪兽行星,2018/9/21,10,7.8,1.05,1.615,0.263,6.997,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,1,1050000,1615000,263000,6997
32,1212979,小狗奶瓶,2018/2/2,14,9,0.684,1.651,0.298,1.631,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,684000,1651000,298000,1631
19,454617,追鹰日记,2018/10/26,14,9.1,1.123,1.751,0.397,1.274,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,1,0,1123000,1751000,397000,1274
328,1228761,把哥哥退货可以吗,2019/3/15,14,8.3,1.401,1.752,0.691,4.381,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,1401000,1752000,691000,4381
140,1201231,让我怎么相信你,2018/9/14,7,8.2,1.482,1.836,0.743,0.642,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,1482000,1836000,743000,642
114,1208645,足球王者,2018/8/31,13,8.4,1.561,1.854,0.787,1.702,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,1,1561000,1854000,787000,1702
275,1212344,凌晨两点半,2018/4/13,30,2.7,0.652,1.868,0.268,3.708,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,652000,1868000,268000,3708
95,1203156,兄弟班,2018/7/20,7,8.5,1.443,1.905,0.85,1.246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,1443000,1905000,850000,1246
362,1251817,少女宿舍,2019/3/15,20,4.7,1.038,1.913,0.484,3.843,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,1038000,1913000,484000,3843
187,879019,西小河的夏天,2018/5/25,14,7.8,0.787,1.917,0.294,2.976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,787000,1917000,294000,2976
149,1218267,亲爱的，我要和别人结婚了,2018/5/12,24,8.1,1.007,1.941,0.614,18.209,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,1007000,1941000,614000,18209
272,1205320,玲珑井,2018/3/16,29,3.5,1.069,1.984,0.442,2.706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,1069000,1984000,442000,2706
